node,betweenness,betweenness_norm
Fuel Supply Companies,12,0.06593406593406594
Customs & Immigration,11,0.06043956043956044
Air Traffic Control (ATC),6,0.03296703296703297
International Airlines,6,0.03296703296703297
Maintenance & Engineering,4,0.02197802197802198
SriLankan Airlines,2,0.01098901098901099
Sri Lanka Air Force,1,0.005494505494505495
Mihin Lanka,1,0.005494505494505495
Tourism Authority,1,0.005494505494505495
Cargo Operators,0,0
Bandaranaike International Airport (CMB),0,0
Civil Aviation Authority of Sri Lanka (CAASL),0,0
Mattala Rajapaksa International Airport (MRIA),0,0
Airport & Aviation Services SL (AASL),0,0
Ground Handling Unit,0,0
