node,degree_total,degree_in,degree_out,strength_total,strength_in,strength_out,betweenness,betweenness_norm,closeness,eigenvector,pagerank,hub_score,authority_score
Cargo Operators,7,7,0,35,35,0,0,0,0.18421052631578946,1,0.2782738476089428,0,1
Customs & Immigration,6,4,2,32,19,13,11,0.06043956043956044,0.17073170731707318,0,0.06484946400832066,0.3726107470458123,0.6397969727240015
Bandaranaike International Airport (CMB),5,0,5,26,0,26,0,0,0.16091954022988506,0,0.02576885136450676,0.5606663360396053,0
Fuel Supply Companies,5,3,2,32,14,18,12,0.06593406593406594,0.1891891891891892,0,0.05754099557437114,0.9999999999999999,0.23603551902378064
Sri Lanka Air Force,5,2,3,18,7,11,1,0.005494505494505495,0.109375,0,0.033110142261483004,0.16936551335092953,0.1444114757651619
Air Traffic Control (ATC),4,3,1,18,14,4,6,0.03296703296703297,0.10852713178294573,0,0.09278596151285634,0.016013327969211046,0.042400213829855884
Civil Aviation Authority of Sri Lanka (CAASL),4,0,4,14,0,14,0,0,0.09859154929577464,0,0.02576885136450676,0.12552273940207098,0
Mattala Rajapaksa International Airport (MRIA),4,0,4,16,0,16,0,0,0.13592233009708737,0,0.02576885136450676,0.6103037895350146,0
International Airlines,3,2,1,12,10,2,6,0.03296703296703297,0.15053763440860216,0,0.06648877771618208,0.015844691980042236,0.16656153056570738
Maintenance & Engineering,3,2,1,17,11,6,4,0.02197802197802198,0.12844036697247707,0,0.1225464956009641,0.40655439530371357,0.059081865136085085
Mihin Lanka,3,2,1,18,11,7,1,0.005494505494505495,0.12844036697247707,0,0.037924103505401846,0.020110992176736044,0.20929775003970974
Tourism Authority,3,2,1,7,6,1,1,0.005494505494505495,0.08,0,0.08776019333821922,0.06775906588395228,0.1169193507417791
SriLankan Airlines,2,1,1,4,3,1,2,0.01098901098901099,0.08045977011494253,0,0.029875762050725025,0.002872998882390861,0.08656580342613765
Airport & Aviation Services SL (AASL),1,0,1,7,0,7,0,0,0.12173913043478261,0,0.02576885136450676,0.4743134611876658,0
Ground Handling Unit,1,0,1,4,0,4,0,0,0.09210526315789473,0,0.02576885136450676,0.06397418513794083,0
