Name,lon_WGS84,lat_WGS84,x_5234,y_5234
Smoke Room Practice Area,79.87868732282202,7.185810898494354,101147.78453821418,220553.33860768774
Rescue Traning Tower,79.87948747372269,7.185411121320305,101236.0782923403,220508.9531309457
Wo & SNCO Mess,79.8789294075756,7.183488376172764,101174.02318788515,220296.42778343474
C44 Billet,79.87815609623479,7.181649229878944,101088.21077174597,220093.19440672031
Electronic and Telecommunication,79.87936947570701,7.179790311800327,101221.8343879732,219887.3468117839
Command Agro SLAF Base Katunayake,79.87121351679235,7.178132427942283,100320.6030958722,219705.7549360032
Air Force Ground Katunayake,79.87162544123727,7.187152201222985,100368.06210289372,220703.20672117214
BIA Control Tower,79.88669049133674,7.178903085223277,102030.29031384936,219787.65681201912
C242 Airman Bilate,79.8740181018383,7.188140229613415,100632.55494797524,220811.9588484044
Ceylon Petroleum Corporation Aviation,79.88023377074835,7.168435427414257,101314.8602510651,218631.37184581667
Air Cargo Village Entrance,79.88100694873344,7.166885156164287,101399.93149322485,218459.75450192002
Departure Terminal,79.88712878512305,7.1733611351253,102077.52013919438,219174.65453090926
Arrival Terminal,79.88809906425091,7.174380394309758,102184.91114047435,219287.17237405747
Terminal Car Park,79.88848603456258,7.175897286983141,102227.97754414007,219454.84988778035
Runaway Center Point,79.88377847048527,7.181176840963235,101709.12869165413,220039.74374057862
